gas/electric,livingroom,bedrooms,bathrooms,city,where,languages,house/building,storage?,furnished?,AC,accessible?,Elevator,parking,pets,smoke,price,rent length,public transpo,near construction,loud neighborhood
1,1,2,1,1,Ariel,EN,0,1,1,1,0,0,1,0,0,3000,1,1,0,1
0,1,2,1,1,Ariel,AM,1,0,1,1,1,1,0,0,0,3000,1,1,0,1
1,1,2,1,1,Ariel,FR,1,1,1,1,1,1,0,0,0,3000,1,1,0,1
0,1,1,1,1,Haifa,EN,1,1,1,1,0,1,1,1,0,2000,1,1,0,1
0,1,1,1.5,1,Ariel,AM,1,1,1,1,1,1,0,0,0,2200,1,1,0,1
1,1,2,1,1,Ariel,SP,1,0,1,1,1,1,0,0,0,3000,1,1,0,1
0,1,1,1.5,0,Otef Azza,0,1,0,1,1,1,1,1,0,0,2200,1,0,0,1
0,1,1,1,0,Yehuda And Shomron,0,1,0,1,1,1,1,0,0,0,2000,1,0,0,1
1,1,1,1,1,Ariel,0,1,0,1,1,1,1,0,0,0,2000,1,1,0,1
0,1,1,1,0,South,EN,1,0,1,1,0,1,1,1,0,2000,1,0,0,1
0,1,1,1,0,South,EN,1,0,1,1,0,1,1,1,0,2000,1,0,0,1
0,1,1,1,0,South,EN,1,0,1,1,0,1,1,1,0,2000,1,0,0,1
0,1,2,1,0,South,EN,1,0,1,1,0,1,1,1,0,4000,1,0,0,1
0,1,1,1,0,South,EN,1,0,1,1,0,1,1,1,0,2000,1,0,0,1
0,1,2,1,0,South,EN,1,0,1,1,0,1,1,1,0,4000,1,0,0,1
0,1,1,1,0,North,EN,1,1,1,1,1,1,0,1,1,2000,1,0,0,1
1,1,1,1.5,1,Merkaz,SP,1,1,1,0,0,0,0,0,1,1750,1,1,0,1
0,1,2,1,0,North,AM,1,1,1,1,1,1,0,0,0,3000,3,0,0,1
0,1,2,1,1,Ariel,FR,1,0,1,1,1,1,0,0,0,3000,3,1,0,1
0,1,4,1,1,Merkaz,FR,1,0,1,1,1,1,0,0,0,12000,3,1,0,1
0,1,4,1,0,Otef Azza,0,1,0,1,1,1,1,0,0,1,12000,3,0,0,1
0,1,2,1,1,Ariel,0,1,0,1,1,1,1,0,0,0,3000,3,1,1,1
1,1,4,1.5,1,Ariel,0,1,1,1,0,1,1,1,0,0,6000,3,1,1,1
1,1,2,1,0,Otef Azza,0,1,0,1,1,0,0,1,0,0,2400,3,0,1,1
0,1,2,1,0,South,EN,1,0,1,1,0,1,1,1,0,4000,3,0,1,1
1,1,2,1,1,Ariel,FR,1,1,1,1,1,1,0,0,0,3000,3,1,1,1
1,1,4,1,1,Merkaz,0,1,0,1,0,1,1,1,0,0,12000,3,1,1,1
1,1,2,1,1,Merkaz,0,1,1,1,1,1,1,1,0,0,3500,3,1,1,1
1,1,1,1,0,Yehuda And Shomron,RU,1,0,1,1,0,1,1,1,0,2000,3,0,1,1
