Timestamp,Do you prefer a gas or electric stovetop?,For how long are you looking to rent?,How many rooms do you want?,What is your budget for rent?,How many bathrooms do you want?,How important is it that you have a master bedroom?,How important is it that you have a storage unit?,How important is it that you a balcony/garden?,How important is it that you have also an electric heater (דוד חשמל) and a regular heater (דוד שמש)?,"How important, is it that you have an air-conditioner in every bedroom? ",How important is it that you have personal parking spot(s)?,How Important is it that you have a kosher Kitchen?,How important is it that you have bus routes near you?,Does it matter if the apartment is next to a school or a apartment complex under construction?,Does it matter to you to be in a building that can undergo construction in the coming year/two years?,Would you rather your neighbors be students or families?,Do you prefer your neighbors be families or singles?,Is it important that your neighbors be students,Is it Important that your neighbors be families?,What type of neighborhood are you looking for?,How Important is it that your apartment come furnished?,How important that the apartment be pet friendly?,How important that the apartment be smoke friendly?,How important that the apartment have a big livingroom?,On which Floor would you want the apartment to be on?,How important is it which floor you are on?,How important that the apartment have elevator access?,Where are you looking for an apartment?,City
5/18/2022 10:44:05,3,"Half a Year, A Year","2, 3, 4","1000-2000, 2100-3000",2,3,3,1,3,5,1,5,5,1,3,4,4,3,3,"Not Religious, Traditional, Dati Leumi",5,1,1,3,"First, Second",1,1,Jerusalem ,1
5/18/2022 10:44:56,3,A Year,"2, 3, 4","1000-2000, 2100-3000",1,3,2,3,1,3,2,5,4,4,3,3,3,3,3,Dati Leumi,3,1,1,2,"Ground, First, Second, Third, Fourth",2,2,Jerusalem ,1
5/18/2022 10:47:43,3,A Year,"4, 5, 6","6100-7000, 7100-8000",2,2,2,5,3,5,1,1,5,4,3,5,3,3,3,"Not Religious, Traditional",4,5,4,4,"Ground, First, Second",1,4,Beer Sheba,1
5/18/2022 10:55:49,4,A Year,"1, 2, 3","2100-3000, 3100-4000",1,3,3,3,5,2,1,4,4,2,4,2,3,1,3,"Traditional, Dati Leumi",3,1,1,4,"Second, Third",4,3,Beer Sheba,1
5/18/2022 10:56:08,1,2 years,3,3100-4000,1,5,3,5,3,1,1,5,5,4,5,1,1,1,4,"Traditional, Dati Leumi, Charedi",3,5,5,4,"Ground, First",1,4, ,0
5/18/2022 10:57:36,5,2 years,"3, 4",1000-2000,1.5,1,2,2,1,2,2,5,5,3,3,3,3,2,1,"Traditional, Dati Leumi",4,1,1,2,"Third, Fourth",1,1, ,1
5/18/2022 11:04:26,3,2 Months,"1, 2","1000-2000, 2100-3000",1,1,1,2,1,3,1,5,5,2,2,4,3,2,2,"Not Religious, Traditional, Dati Leumi",5,1,5,1,"Ground, First",1,1,Jerusalem ,1
5/18/2022 11:08:14,3,"Half a Year, A Year",4,1000-2000,1.5,2,4,2,3,4,1,5,4,2,3,4,1,1,1,"Dati Leumi, Charedi",4,1,1,2,"Ground, First",1,3, ,1
5/18/2022 11:15:04,1,A Year,"1, 2, 3",2100-3000,1,5,2,1,1,1,1,1,4,3,4,4,5,3,3,"Not Religious, Dati Leumi",4,2,3,2,"First, Second",3,3, ,1
5/18/2022 11:22:48,3,"A Year, 2 years","4, 5","1000-2000, 2100-3000",2,1,4,4,1,4,1,5,5,4,2,3,3,3,3,"Dati Leumi, Charedi",4,,1,4,"Ground, First, Second",4,5, ,1
5/18/2022 11:25:43,4,1 Month,3,3100-4000,1,3,3,4,4,2,1,1,5,5,4,2,3,2,2,"Traditional, Dati Leumi",3,1,1,3,"First, Second",4,2, ,
5/18/2022 11:25:45,4,A Year,"1, 2, 3",1000-2000,1,1,2,2,4,3,1,4,5,1,4,3,3,3,3,"Not Religious, Traditional, Dati Leumi",3,3,1,4,"First, Second",1,1, ,1
5/18/2022 11:30:17,4,A Year,3,3100-4000,,3,3,5,5,4,4,5,4,5,5,3,3,1,1,Dati Leumi,3,1,1,4,"Ground, Second",2,3,Jerusalem ,1
5/18/2022 11:31:29,4,A Year,4,1000-2000,1.5,1,3,3,2,4,1,5,5,3,2,3,3,3,3,"Not Religious, Traditional, Dati Leumi",4,1,1,4,"First, Second",4,1, ,1
5/18/2022 11:33:56,5,"Half a Year, A Year",1,"1000-2000, 2100-3000",1,1,1,1,3,4,1,5,5,1,1,3,3,1,1,"Traditional, Dati Leumi, Charedi",5,1,3,4,"Ground, First",1,4,Merkaz,1
5/18/2022 11:35:13,3,"A Year, 2 years","1, 2, 3","1000-2000, 2100-3000, 3100-4000",1,1,3,2,2,3,3,3,1,1,1,3,5,1,1,"Not Religious, Traditional, Dati Leumi",2,1,3,2,"Third, Fourth",3,1, ,1
5/18/2022 11:38:33,4,A Year,"2, 3",2100-3000,1,2,2,4,5,3,1,5,5,4,4,5,4,3,2,Traditional,2,5,3,3,"Ground, First",3,2, ,1
5/18/2022 11:39:56,3,A Year,3,"4100-5000, 5100-6000",1.5,1,2,2,2,3,1,5,5,3,2,5,5,1,1,Dati Leumi,2,1,1,3,"Ground, First",3,2,Beer Sheba,1
5/18/2022 11:40:04,5,"A Year, 2 years","2, 3","3100-4000, 4100-5000",1.5,1,4,4,2,1,1,3,5,1,3,3,3,3,3,,3,5,3,4,,4,3,Jerusalem ,1
5/18/2022 11:43:34,3,A Year,2,2100-3000,1,1,1,2,2,1,1,5,5,3,5,3,3,1,1,"Not Religious, Traditional, Dati Leumi",1,5,1,3,"Ground, First",3,1,Beer Sheba,1
5/18/2022 11:52:48,3,1 Month,1,"1000-2000, 2100-3000",1,1,1,1,1,1,1,3,4,1,1,3,3,1,1,"Traditional, Dati Leumi, Charedi",5,1,3,1,"First, Second",1,1, ,
5/18/2022 11:54:37,5,A Year,4,5100-6000,1.5,1,4,3,2,4,1,3,5,1,3,3,3,4,4,Dati Leumi,3,1,1,3,"Ground, Second",1,1,Beer Sheba,1
5/18/2022 11:55:38,4,"A Year, 2 years","1, 2, 3","2100-3000, 3100-4000",1,2,4,3,2,4,2,4,4,2,4,3,3,3,3,"Traditional, Dati Leumi",4,2,1,4,"Ground, First",2,3,Beer Sheba,1
5/18/2022 11:58:34,4,"A Year, 2 years","3, 4, 5","1000-2000, 2100-3000, 3100-4000",1.5,2,2,4,4,4,1,4,5,5,5,5,5,1,1,"Not Religious, Traditional, Dati Leumi",3,1,1,4,"Ground, First, Second, Third, Fourth",1,5,Beer Sheba,1
5/18/2022 11:59:04,5,"A Year, 2 years","3, 4, 5","3100-4000, 4100-5000",2,4,4,5,4,5,1,3,5,5,5,1,2,1,5,Traditional,1,2,2,4,"First, Second",4,3, ,
5/18/2022 12:08:22,3,"1 Month, Half a Year","1, 2, 3","1000-2000, 2100-3000, 3100-4000",2,5,1,2,3,4,4,5,1,3,4,3,4,1,2,Dati Leumi,5,2,1,4,"Ground, First, Second",4,4, ,1
5/18/2022 12:12:23,3,"A Year, 2 years",3,1000-2000,2,4,4,5,3,3,2,5,5,2,4,3,3,1,1,"Traditional, Dati Leumi",2,1,4,4,"First, Second, Third, Fourth",2,2, ,1
5/18/2022 12:12:27,3,"A Year, 2 years","2, 3","3100-4000, 4100-5000, 5100-6000",1.5,1,4,3,4,5,4,5,5,3,5,3,3,2,2,Dati Leumi,1,3,1,4,"Ground, Fourth",1,4, ,1
5/18/2022 12:15:26,5,2 years,3,3100-4000,2,1,1,1,5,1,1,1,5,1,3,3,3,3,3,"Not Religious, Traditional, Dati Leumi",1,5,1,1,"First, Second",1,1, ,1
5/18/2022 12:15:27,3,"A Year, 2 years","2, 3, 4","1000-2000, 2100-3000",1.5,1,1,3,3,3,1,5,5,3,3,5,5,3,1,"Traditional, Dati Leumi",3,1,2,2,"Ground, First, Second, Third, Fourth",1,1,Jerusalem ,1
5/18/2022 12:19:19,5,2 Months,1,2100-3000,1.5,1,1,4,3,3,2,5,5,2,5,3,3,1,2,Dati Leumi,4,3,1,3,"Ground, First, Second, Third, Fourth",2,3, ,1
5/18/2022 13:26:33,1,Half a Year,3,"2100-3000, 3100-4000",2,5,3,5,5,5,1,5,5,5,5,1,3,1,3,Dati Leumi,5,1,1,5,"Ground, First, Second, Third, Fourth",1,5, ,1
5/18/2022 13:39:19,3,"A Year, 2 years","1, 2, 3","2100-3000, 3100-4000",,4,2,3,,5,1,,4,3,4,3,4,1,1,Dati Leumi,3,1,1,2,"First, Second",3,2, ,1
5/18/2022 13:43:13,2,"Half a Year, A Year","3, 4","4100-5000, 5100-6000",1,2,2,3,3,4,1,5,4,3,4,3,4,4,2,"Traditional, Dati Leumi",4,1,1,4,"Ground, First, Second",4,4, ,1
5/18/2022 14:01:04,5,A Year,4,6100-7000,1.5,3,4,5,4,1,1,5,5,4,3,3,1,1,5,"Traditional, Dati Leumi",1,5,1,3,"Ground, First, Second, Third, Fourth",1,1, ,1
5/18/2022 18:39:35,3,A Year,"3, 4, 5",2100-3000,2,2,3,3,3,3,1,5,4,2,2,3,3,3,3,"Traditional, Dati Leumi",5,3,1,3,"First, Second",3,4,Jerusalem ,1
5/18/2022 19:55:29,5,"A Year, 2 years",3,"3100-4000, 4100-5000",2,1,3,4,5,5,5,5,4,2,2,3,2,2,2,Traditional,1,1,1,5,"Third, Fourth",2,5, ,1
5/18/2022 19:56:25,5,2 years,3,3100-4000,1.5,5,5,4,5,5,4,1,5,3,4,3,3,1,1,Not Religious,1,5,3,5,Ground,4,1, ,1
5/18/2022 20:24:57,5,"A Year, 2 years","4, 5","2100-3000, 3100-4000",2,5,4,3,1,5,3,5,1,1,5,1,1,1,5,Charedi,1,1,1,5,"Ground, First",5,4, ,1
5/18/2022 20:31:43,5,"Half a Year, A Year","3, 4","1000-2000, 2100-3000, 3100-4000",2,1,1,2,5,5,3,5,5,1,5,3,3,1,1,"Not Religious, Traditional",1,1,1,2,"Ground, First",4,4, ,1
5/18/2022 22:14:25,5,Half a Year,"1, 2, 3","1000-2000, 2100-3000, 3100-4000",1.5,3,3,4,4,5,2,4,4,3,2,3,4,3,1,"Not Religious, Traditional, Dati Leumi",4,4,2,4,"Ground, Fourth",2,3, ,1
5/18/2022 22:30:08,3,"A Year, 2 years","1, 2","1000-2000, 2100-3000",1,4,4,2,2,3,5,1,4,4,4,3,3,1,1,"Not Religious, Dati Leumi",2,5,3,,"First, Second",4,5, ,0
5/18/2022 22:39:59,3,A Year,1,1000-2000,1,4,1,4,3,3,5,2,1,1,2,4,5,1,1,"Not Religious, Traditional",4,1,1,2,"Second, Third",1,1, ,1
5/18/2022 23:48:50,1,Half a Year,3,2100-3000,1,3,2,4,4,5,1,4,4,4,4,1,5,1,2,"Not Religious, Traditional, Dati Leumi, Charedi",5,1,5,5,"Ground, First, Second, Third, Fourth",1,5, ,1
5/19/2022 0:18:45,1,"A Year, 2 years",1,"1000-2000, 2100-3000",1.5,3,2,4,4,2,1,5,5,2,2,3,3,1,3,Dati Leumi,4,5,1,4,"Ground, First",4,3, ,0
5/19/2022 1:33:22,5,Half a Year,3,2100-3000,2,5,3,4,2,5,4,5,5,1,1,5,3,1,4,"Dati Leumi, Charedi",3,4,2,4,"Ground, First, Second",4,2, ,1
5/19/2022 1:38:48,3,2 Months,2,1000-2000,1.5,2,1,4,1,4,1,5,5,1,1,5,5,4,2,Dati Leumi,4,1,4,1,"Ground, First, Second, Third, Fourth",1,1, ,1
