Timestamp,Do you prefer a gas or electric stovetop?,For how long are you looking to rent?,How many rooms do you want?,What is your budget for rent?,How many bathrooms do you want?,How important is it that you have a master bedroom?,How important is it that you have a storage unit?,How important is it that you a balcony/garden?,How important is it that you have also an electric heater (דוד חשמל) and a regular heater (דוד שמש)?,"How important, is it that you have an air-conditioner in every bedroom? ",How important is it that you have personal parking spot(s)?,How Important is it that you have a kosher Kitchen?,How important is it that you have bus routes near you?,Does it matter if the apartment is next to a school or a apartment complex under construction?,Does it matter to you to be in a building that can undergo construction in the coming year/two years?,Would you rather your neighbors be students or families?,Do you prefer your neighbors be families or singles?,Is it important that your neighbors be students,Is it Important that your neighbors be families?,What type of neighborhood are you looking for?,How Important is it that your apartment come furnished?,How important that the apartment be pet friendly?,How important that the apartment be smoke friendly?,How important that the apartment have a big livingroom?,On which Floor would you want the apartment to be on?,How important is it which floor you are on?,How important that the apartment have elevator access?,Where are you looking for an apartment?
5/18/2022 10:44:05,3,"Half a Year, A Year","2, 3, 4","1000-2000, 2100-3000",2,3,3,1,3,5,1,5,5,1,3,4,4,3,3,"Not Religious, Traditional, Dati Leumi",5,1,1,3,"First, Second",1,1,"City, Jerusalem "
5/18/2022 10:44:56,3,A Year,"2, 3, 4","1000-2000, 2100-3000",1,3,2,3,1,3,2,5,4,4,3,3,3,3,3,Dati Leumi,3,1,1,2,"Ground, First, Second, Third, Fourth",2,2,בקעה ירושלים
5/18/2022 10:47:43,3,A Year,"4, 5, 6","6100-7000, 7100-8000",2,2,2,5,3,5,1,1,5,4,3,5,3,3,3,"Not Religious, Traditional",4,5,4,4,"Ground, First, Second",1,4,City
5/18/2022 10:55:49,4,A Year,"1, 2, 3","2100-3000, 3100-4000",1,3,3,3,5,2,1,4,4,2,4,2,3,1,3,"Traditional, Dati Leumi",3,1,1,4,"Second, Third",4,3,City
5/18/2022 10:56:08,1,2 years,3,3100-4000,1,5,3,5,3,1,1,5,5,4,5,1,1,1,4,"Traditional, Dati Leumi, Charedi",3,5,5,4,"Ground, First",1,4,Yeshuv
5/18/2022 10:57:36,5,2 years,"3, 4",1000-2000,1.5,1,2,2,1,2,2,5,5,3,3,3,3,2,1,"Traditional, Dati Leumi",4,1,1,2,"Third, Fourth",1,1,City
5/18/2022 11:04:26,3,2 Months,"1, 2","1000-2000, 2100-3000",1,1,1,2,1,3,1,5,5,2,2,4,3,2,2,"Not Religious, Traditional, Dati Leumi",5,1,5,1,"Ground, First",1,1,"City, Nachlaot/Jerusalem "
5/18/2022 11:08:14,3,"Half a Year, A Year",4,1000-2000,1.5,2,4,2,3,4,1,5,4,2,3,4,1,1,1,"Dati Leumi, Charedi",4,1,1,2,"Ground, First",1,3,City
5/18/2022 11:15:04,1,A Year,"1, 2, 3",2100-3000,1,5,2,1,1,1,1,1,4,3,4,4,5,3,3,"Not Religious, Dati Leumi",4,2,3,2,"First, Second",3,3,City
5/18/2022 11:22:48,3,"A Year, 2 years","4, 5","1000-2000, 2100-3000",2,1,4,4,1,4,1,5,5,4,2,3,3,3,3,"Dati Leumi, Charedi",4,,1,4,"Ground, First, Second",4,5,City
5/18/2022 11:25:43,4,1 Month,3,3100-4000,1,3,3,4,4,2,1,1,5,5,4,2,3,2,2,"Traditional, Dati Leumi",3,1,1,3,"First, Second",4,2,"Yeshuv, City"
5/18/2022 11:25:45,4,A Year,"1, 2, 3",1000-2000,1,1,2,2,4,3,1,4,5,1,4,3,3,3,3,"Not Religious, Traditional, Dati Leumi",3,3,1,4,"First, Second",1,1,City
